UNIT_LINK,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
TNCAch;14,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNCAchi;14,Minor,Metamorphic,Quartzite,,,,Quartzite ,,
TNCAchi;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAchi;14,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAchi;14,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNCAchi;14,Incidental,Sedimentary,Clastic,Sandstone,Arkose,,Arkose ,,
TNCAchi;14,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNCAchi;14,Incidental,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt ,,
TNCAcl;11,Incidental,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAcl;11,Minor,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAcl;11,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAcl;11,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAcl;14,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAcl;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAcl;14,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAcl;14,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAcl;14,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNCAcr;10,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAcr;10,Minor,Sedimentary,Chemical,Chert,,,Chert ,,
TNCAcr;14,Minor,Sedimentary,Chemical,Chert,,,Chert ,,
TNCAcr;14,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAcu;14,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAcu;14,Minor,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAcu;14,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAcu;14,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAe;14,Major,Metamorphic,Quartzite,,,,Quartzite,, 
TNCAe;14,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNCAe;14,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNCAe;14,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNCAh;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNCAh;14,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNig;15,Major,Igneous,Plutonic,Ultramafic,Peridotite,,Peridotite,Dike or sill,mica peridotite 
TNCAhe;11,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,,Helenmode member of Hesse Sandstone of Chilhowee Group 
TNCAhe;11,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,,Helenmode member of Hesse Sandstone of Chilhowee Group 
TNCAhe;11,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,,Hesse Sandstone of Chilhowee Group 
TNCAhe;14,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNCAhe;14,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNCAhe;14,Major,Metamorphic,Quartzite,,,,Quartzite,, 
TNCAhk;14,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
TNCAhk;14,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNCAm;14,Incidental,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
TNCAm;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNCAm;14,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNCAmn;11,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAmn;11,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAmn;14,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAmn;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAmr;11,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAmr;11,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAmr;11,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAmr;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAmr;14,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNCAmr;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAmr;14,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAmu;11,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAmu;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAn;11,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAn;11,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAn;11,Minor,Sedimentary,Carbonate,Limestone,,,Limestone ,,
