site_name,sample_id,sample_date,sample_time,sampled_by,flow,flow_status,medium,depth,SpC,pH,temp,DOC,TC,Mg,Ca,Cl,NO3,PO4,SO4,Be,Na,Al,Si,K ,Ti,V ,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y ,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Gd_158,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U 
MTN4,WaDE_64,6/23/23,09:45,Berens,Y,F,WS,3,91.07,8.29,15.83,0.431124788,39.09628652,10.85835936,4.430198566,2.830874596,0.701225352,-0.076649746,2.845587969,0.031,2057.664,4.393,4465.601,965.649,0.08,0.127,0.112,7.954,3.278,0.1,0.289,0.046,6.281,0.074,0.153,15.514,0.003,0.059,0.006,0.014,0.011,0.015,23.22,0.003,0.001,0.003,0.005,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.02,0.038,0,0.004
MTN2,WaDE_65,6/23/23,10:21,Berens,N,P,WS,6,77.35,8.32,18.73,6.330433761,16.85577648,13.30324329,0.790717506,0.560240459,0.364419269,-0.076649746,0.720216383,0.018,208.963,18.584,1026.246,2339.042,1.017,0.502,0.187,1.032,21.77,0.05,0.255,2.251,4.429,0.413,0.153,19.818,0.007,0.106,0.012,0.009,0.015,0.107,10.391,0.012,0.003,0.017,0.014,0.002,0.003,0,0.002,0.002,0,0.001,0,0.001,0,0.006,0.074,0.001,0.001
MCA3.3,WaDE_66,6/23/23,10:42,Berens,Y,F,WS,10,59.57,7.67,16.21,1.425868502,8.244736567,6.632941143,0.927292565,3.080644351,0.605796961,-0.076649746,5.219178134,0.028,2762.763,4.777,2424.073,1085.267,0.133,0.082,0.034,9.013,2.752,0.063,0.248,0.068,0.701,0.049,0.126,22.881,0.008,0.025,0.006,0.006,0.01,0.016,19.567,0.009,0.003,0.008,0.015,0.003,0.003,0,0.003,0.002,0,0.001,0,0.001,0,0.01,0.02,0,0.001
MCA3.2,WaDE_67,6/23/23,11:04,Berens,Y,F,WS,12,26.23,7.49,16.52,0.983867649,4.411627034,1.165402684,-0.739525366,2.72869606,0.313898357,-0.076649746,3.559216385,0.059,2122.194,15.499,2934.482,632.58,0.332,0.06,0.049,4.264,6.832,0.079,1.829,0.228,4.798,0.053,0.15,7.889,0.016,0.01,0.007,0.022,0.007,0.017,16.843,0.016,0.008,0.051,0.041,0.009,0.008,0.001,0.008,0.005,0.001,0.003,0,0.003,0,0.008,0.067,0,0.001
MCA4,WaDE_68,6/23/23,11:30,Berens,Y,F,WS,8,116.1,7.62,17.3,1.073815306,16.0999198,16.79083752,4.190125998,2.853580937,0.370032704,-0.076649746,2.085418569,0.018,2176.234,8.182,4722.8,877.2,0.116,0.314,0.067,4.466,11.564,0.051,0.179,0.152,-1.001,0.131,0.042,24.286,0.002,0.054,0.007,0.008,0.009,0.021,13.891,0.002,0.001,0.006,0.004,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0.011,0.031,0,0.006
MCA1,WaDE_69,6/23/23,12:54,Berens,Y,F,WS,6,265.7,7.55,16.83,1.126042978,38.66109631,53.6476395,5.767921641,3.307707765,1.133459824,-0.076649746,3.729866658,0.014,3053.901,10.008,4464.136,1096.222,0.106,0.275,0.131,7.828,10.695,0.068,0.19,0.465,-0.37,0.113,0.378,68.888,0.007,0.079,0.006,0.007,0.006,0.038,16.816,0.004,0.001,0.004,0.006,0.001,0.002,0,0.002,0.001,0,0.001,0,0.001,0,0.007,0.022,0,0.015
MCA2,WaDE_70,6/23/23,13:12,Berens,Y,F,WS,6,171.2,8.13,17.3,1.082519918,22.77665376,30.07959946,5.109611195,3.182822887,0.572116353,-0.076649746,3.000724581,0.019,2634.425,5.154,4398.015,953.24,0.077,0.303,0.082,0.893,4.544,0.038,0.149,0.243,-0.609,0.118,0.188,40.899,0.003,0.051,0.005,0.005,0.012,0.031,15.001,0.002,0.001,0.003,0.004,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0.008,0.021,0,0.008
EFK16.2,WaDE_71,6/23/23,13:49,Berens,Y,F,WS,NA,364,8.17,19.01,1.473,40.8141426,62.92664824,10.68052734,8.734523351,1.183980737,-0.076649746,19.52277377,0.012,9082.668,11.664,4486.906,2342.135,0.07,0.669,0.279,21.226,11.27,0.254,0.33,1.084,2.834,0.265,0.476,132.253,0.003,5.49,0.045,0.025,0.039,0.184,53.479,0.001,0,0.002,0.002,0,0.001,0,0.001,0.001,0,0,0,0.001,0,0.011,0.036,0,1.439
MCA3.1,WaDE_72,6/23/23,14:00,Berens,Y,F,WS,2,143.3,7.99,15.93,1.165697321,20.11970303,22.55641884,6.441429803,3.375826789,0.572116353,-0.076649746,4.086680866,0.017,2937.736,3.074,3047.357,883.063,0.214,0.189,0.084,2.368,5.863,0.041,0.231,0.242,1.568,0.069,0.133,32.805,0.005,0.058,0.006,0.006,0.016,0.044,15.463,0.005,0.002,0.006,0.009,0.002,0.002,0,0.002,0.001,0,0.001,0,0.001,0,0.005,0.016,0,0.006
WBK1,WaDE_73,6/23/23,14:13,Berens,Y,F,WS,8,259.2,7.76,15.65,0.727,39.2795245,47.31602551,11.23747561,4.7268541,2.042836247,-0.076649746,4.303872123,0.029,4357.707,2.789,4468.004,1326.275,0.094,0.32,0.21,5.305,5.129,0.045,0.255,0.258,2.06,0.085,0.442,54.274,0.009,0.078,0.005,0.015,0.017,0.053,24.87,0.006,0.002,0.001,0.009,0.002,0.002,0,0.002,0.002,0,0.001,0,0.001,0,0.008,0.017,0,0.013
WBK2,WaDE_74,6/23/23,14:33,Berens,Y,F,WS,6,243.3,7.62,16.06,1.342,18.69960867,21.68672135,6.079823522,3.659656056,0.712452221,-0.076649746,2.364664471,0.015,3755.931,6.372,4777.099,1250.107,0.17,0.526,0.089,6.795,4.291,0.04,0.165,0.388,4.746,0.184,0.169,27.94,0.002,0.088,0.005,0.007,0.007,0.074,46.37,0.002,0.001,0.004,0.003,0.001,0.001,0,0.001,0,0,0,0,0,0,0.008,0.045,0,0.008
WBK3,WaDE_75,6/23/23,14:56,Berens,Y,F,WS,4,118.4,8.15,17.77,0.883,15.05775378,14.44158106,5.769906965,3.580183861,0.751746264,-0.076649746,1.852713651,0.015,3154.776,3.945,4840.778,1163.656,0.099,0.387,0.101,25.154,8.611,0.067,0.078,0.157,1.709,0.155,0.184,18.478,0.003,0.07,0.005,0.004,0.009,0.052,57.727,0.004,0.001,0.008,0.005,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0.011,0.03,0,0.003
Downtown,WaDE_76,6/23/23,15:38,Berens,Y,F,WS,NA,397.1,8.5,21.21,1.23,42.7839509,69.74431522,11.70447714,10.24449505,0.953829913,-0.076649746,7.5927683,0.013,6616.04,11.309,4380.765,1518.165,0.074,0.519,0.319,11.124,6.388,0.064,0.28,0.877,3.939,0.2,0.423,101.295,0.003,0.386,0.003,0.01,0.026,0.19,56.058,0.001,0.001,0.002,0.002,0,0,0,0,0,0,0,0,0.001,0,0.009,0.092,0,0.037
BSL1.1,WaDE_77,6/23/23,09:15,Herndon,Y,F,WS,30,381.1,7.5,19.07,1.236301396,41.98228473,67.6787554,12.41039856,9.688189688,1.054871738,-0.076649746,6.708489611,0.018,6236.871,3.717,4139.977,1548.433,0.814,0.441,0.301,14.09,5.562,0.056,0.183,0.71,1.09,0.22,0.439,96.787,0.003,0.313,0.005,0.006,0.004,0.144,44.098,0.001,0,0.002,0.002,0,0,0,0,0,0,0,0,0.001,0,0.009,0.243,0,0.035
BSL1.3,WaDE_78,6/23/23,09:38,Herndon,Y,F,WS,20,368.9,7.42,18.24,1.083487097,41.14626144,63.23116366,13.83798603,10.09690383,1.200821041,-0.076649746,4.583118025,0.014,5299.921,2.428,4455.693,1361.878,0.96,0.369,0.287,13.804,6.203,0.051,0.19,0.517,1.441,0.197,0.482,81.122,0.003,0.232,0.004,0.007,0.004,0.104,35.626,0.001,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0.009,0.236,0,0.03
BSL1.2,WaDE_79,6/23/23,09:46,Herndon,Y,F,WS,20,425.5,7.6,21,2.03519134,46.60904378,83.61314748,8.004507378,8.632344815,0.740519394,-0.076649746,15.31857158,0.011,9564.965,6.673,3027.522,2173.737,0.849,0.632,0.386,19.839,6.708,0.076,0.252,1.326,2.514,0.267,0.445,154.147,0.003,0.654,0.004,0.007,0.003,0.265,49.273,0.002,0,0.003,0.002,0,0.001,0,0,0.001,0,0.001,0,0.001,0,0.009,0.249,0,0.055
BSL2.1,WaDE_80,6/23/23,10:10,Herndon,Y,F,WS,45,368.3,7.32,18.12,1.001276873,40.20716679,62.61779369,13.75981591,10.22178871,1.245728518,-0.076649746,4.443495074,0.023,5362.487,11.618,4247.096,1383.778,0.956,0.388,0.299,17.157,14.848,0.095,0.204,0.619,2.314,0.173,0.565,81.66,0.007,0.213,0.003,0.034,0,0.1,36.902,0.006,0.002,0.022,0.008,0.002,0.002,0,0.002,0.001,0,0.001,0,0.001,0,0.009,0.598,0,0.03
BSL2.2,WaDE_81,6/23/23,10:23,Herndon,Y,F,WS,20,424.1,7.4,20.58,1.700547368,49.54085148,88.2812287,7.196146056,5.22639361,0.802267176,-0.076649746,7.996123491,0.011,5026.207,11.321,2929.25,1525.495,1.041,0.378,0.312,50.534,16.483,0.127,0.633,1.385,18.375,0.277,0.455,124.188,0.004,0.805,0.005,0.146,0.008,0.324,23.882,0.002,0.001,0.005,0.003,0.001,0.001,0,0.001,0.001,0,0,0,0.001,0,0.008,0.7,0,0.04
BSL2.3,WaDE_82,6/23/23,10:35,Herndon,Y,F,WS,20,358.1,7.48,18.15,0.958720992,39.21081026,56.48927908,16.02240602,12.59460138,1.391677821,-0.076649746,3.636784691,0.023,5506.286,3.194,4555.665,1314.693,0.893,0.341,0.35,7.747,3.868,0.044,0.785,0.394,3.264,0.147,0.446,68.199,0.004,0.115,0.003,0.009,0.002,0.056,51.709,0.002,0,0.002,0.002,0,0.001,0,0,0.001,0,0.001,0,0.001,0,0.009,0.241,0,0.029
BSL3.1,WaDE_83,6/23/23,10:50,Herndon,Y,F,WS,10,365.9,7.26,18.17,0.927771261,37.99685863,57.87853557,16.5377252,13.84345016,1.419744994,-0.076649746,3.636784691,0.017,5610.642,3.075,4780.088,1288.967,0.812,0.356,0.368,6.191,4.988,0.042,0.204,0.35,1.273,0.138,0.545,70.093,0.005,0.111,0.009,0.017,0.003,0.071,52.054,0.002,0.001,0.002,0.003,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.009,0.218,0,0.028
BSL3.2,WaDE_84,6/23/23,10:56,Herndon,Y,F,WS,10,376.7,7.17,18.28,0.745,38.67254869,56.74579546,18.32815556,19.2475594,1.453425603,-0.076649746,3.000724581,0.026,6534.149,2.097,4671.333,1475.28,0.739,0.306,0.455,6.138,5.206,0.042,0.232,0.379,2.721,0.151,0.498,63.711,0.006,0.124,0.006,0.022,0.001,0.043,73.101,0.003,0.001,0.002,0.004,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.011,0.233,0,0.03
BSL3.3,WaDE_85,6/23/23,11:02,Herndon,Y,F,WS,10,337.1,7.39,17.85,0.95001638,37.72200166,58.07805078,13.56556691,4.908504831,1.543240558,-0.076649746,4.893391249,0.015,4281.902,8.264,3719.491,995.094,0.777,0.369,0.258,4.705,3.656,0.039,0.147,0.468,2.731,0.124,0.645,75.973,0.003,0.091,0.003,0.006,0.004,0.135,25.04,0.002,0,0.002,0.002,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.006,0.257,0,0.025
BSL4.1,WaDE_86,6/23/23,11:32,Herndon,N,P,WS,15,422.8,6.92,16.01,2.395,55.1868718,86.78396924,9.026817932,4.7268541,0.111814707,-0.076649746,4.738254637,0.012,4897.814,2.41,3038.054,1369.287,0.785,0.217,0.051,25.913,3.774,0.116,0.236,1.45,2.673,0.313,0.319,118.211,0.006,0.157,0.002,0.008,0.002,0.176,23.439,0.004,0.001,0.006,0.005,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.005,0.26,0,0.026
BSL4.2,WaDE_87,6/23/23,11:39,Herndon,N,P,WS,5.5,370.9,7.34,18.72,3.294458539,46.29982968,76.19277047,8.909478592,3.489358496,0.134268446,-0.076649746,3.791921303,0.013,3931.612,3.573,2976.869,1659.111,0.839,0.396,0.087,6.845,3.471,0.064,0.263,1.872,4.635,0.762,0.263,106.725,0.003,0.177,0.003,0.014,0.004,0.204,28.853,0.002,0.001,0.004,0.003,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0.006,0.258,0,0.028
BSL5.1,WaDE_88,6/23/23,13:01,Herndon,Y,F,WS,5,167.8,6.46,22.08,2.497502954,28.92657853,28.68008295,3.206026517,1.105192652,0.128655011,-0.076649746,2.147473214,0.011,1622.496,3.508,2606.991,2308.332,0.748,0.174,0.045,196.329,7.008,0.793,0.388,0.813,20.277,0.497,0.219,47.467,0.002,0.119,0.004,0.025,0.002,0.176,26.759,0.002,0.001,0.011,0.003,0.001,0.001,0,0.001,0,0,0,0,0,0,0.014,0.33,0,0.001
