site_name,sampleID,sample_date,sample_time,sampled_by,flow,flow_status,medium,depth,pH,SpC,temp,DOC,TC,Cl,SO4,NH4,SRP,NO3,TP,Mn_OES,Fe_OES,P,Ca,Mg,Be,Na,Al,Si,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U
EFK10.0,WaDE_29,4/12/23,12:05,Kurz,Y,F,WS,25,8.03,330.3,14.35,1.966,,15.8446,17.9805,10.674,713.85,6808.82,541,-0.381,-0.242,-0.201,54.627,12.231,-0.001,14247,2.428,2402,3854,0.368,0.217,7,13,0.061,0.958,1.071,8.073,0.275,0.171,88.517,0.021,4.043,-0.007,0.017,0.013,0.106,30.972,0.007,0.002,0.01,0.009,0.001,0,0.057,0.002,0,0.002,0,0.003,0,0.005,0.019,0,4.395
Gum Hollow,WaDE_30,4/12/23,12:15,Kurz,Y,F,WS,19,8.11,163.6,13.44,0.8719,,2.4151,9.5767,3.897,24.789,26.989,49.961,-0.362,-0.217,-0.885,34.09,5.826,0.005,2017,22.769,5699,1526,0.125,0.359,20,23,0.063,0.894,0.099,0.325,0.151,0.024,51.16,0.03,0.171,-0.003,0.002,-0.007,0.016,21.046,0.007,0.002,0.011,0.011,0.003,0,0.004,0.003,0,0.002,0,0.002,0,0.006,-0.008,0,0.129
EFK11.3,WaDE_31,4/12/23,12:44,Kurz,Y,F,WS,23,8.2,360.1,15.23,2.186,,18.5108,20.9291,8.486,873.17,8014.7,832,-0.381,-0.203,-0.045,57.163,12.053,0,16952,3.236,2395,4434,0.374,0.311,7,14,0.065,0.494,1.222,10.77,0.277,0.225,97.024,0.021,4.711,-0.006,0.016,0.021,0.118,27.503,0.007,0.001,0.012,0.009,0.002,0,0.082,0.002,0,0.002,0,0.003,0,0.004,0.036,0,5.117
EFK13.8,WaDE_32,4/12/23,13:00,Kurz,Y,F,WS,27,8.29,315.8,15.14,1.221,,10.1944,20.857,12.577,26.065,1123.59,47.804,-0.373,-0.26,-0.938,55.48,12.052,0.001,9033,14.654,2628,2041,0.38,0.246,12,8,0.039,0.191,2.433,0.679,0.262,0.259,102.223,0.027,6.708,-0.007,0.015,-0.006,0.058,33.804,0.008,0.002,0.012,0.016,0.002,0,0.003,0.003,0,0.002,0,0.002,0,0.005,-0.003,0,7.204
Mill Branch,WaDE_33,4/12/23,12:15,Kurz,Y,F,WS,80,8.09,169.4,14.33,1.029,,2.4623,9.7733,5.178,34.822,26.589,53.976,-0.375,-0.241,-0.927,32.504,6.264,-0.001,2660,3.648,6604,2039,0.118,0.171,12,11,0.038,0.208,0.117,0.422,0.168,0.076,56.115,0.014,0.448,-0.005,0.001,-0.007,0.02,22.91,0.005,0.001,0.009,0.009,0.002,0,0.002,0.002,0,0.001,0,0.001,0,0.005,-0.005,0,0.187
EFK16.2,WaDE_34,4/12/23,13:55,Kurz,Y,F,WS,80,8.1,349.2,15.24,1.221,,12.8262,24.7487,10.614,29.517,1575.09,70.189,-0.362,-0.25,-0.888,62.25,14.244,-0.004,11095,5.572,2715,2145,0.415,0.293,19,10,0.048,0.195,1.083,1.111,0.285,0.413,112.638,0.028,8.758,-0.007,0.024,-0.007,0.063,48.97,0.008,0.002,0.014,0.011,0.002,0,0.003,0.003,0,0.002,0,0.003,0,0.005,0,0,8.945
EFK18.2,WaDE_35,4/12/23,14:10,Kurz,Y,F,WS,24,7.99,259.1,15.94,1.11,,13.0921,25.6115,10.785,38.914,1898.98,80.262,-0.373,-0.238,-0.913,59.633,14.715,0,11264,8.662,3148,2169,0.427,0.38,12,11,0.044,0.222,1.122,1.568,0.262,0.382,116.103,0.036,11.796,-0.007,0.027,-0.004,0.064,50.941,0.013,0.003,0.024,0.016,0.003,0,0.004,0.003,0,0.003,0,0.003,0,0.006,0.003,0.001,8.913
EFK20,WaDE_36,4/12/23,14:50,Kurz,Y,F,WS,30,8.26,392.6,17.58,1.329,,15.6632,34.0277,11.05,50.944,1978.85,139,-0.363,-0.206,-0.887,61.925,15.217,-0.001,14253,14.633,3439,2608,0.491,0.38,22,34,0.048,0.203,1.695,2.582,0.337,0.538,140.394,0.042,17.614,-0.008,0.045,-0.005,0.065,56.505,0.013,0.004,0.024,0.019,0.004,0,0.006,0.004,0.001,0.003,0,0.004,0,0.005,-0.002,0.001,11.352
Downtown,WaDE_37,4/12/23,15:15,Kurz,Y,F,WS,11,8.29,330.4,19.35,0.9131,,7.546,7.5687,11.356,21.723,1201.75,47.247,-0.384,-0.241,-1.028,57.139,13.731,0.002,4968,5.317,3567,1181,0.364,0.321,6,3,0.034,0.084,0.428,0.954,0.135,0.221,63.87,0.03,0.242,-0.007,0.003,-0.007,0.057,57.87,0.01,0.002,0.014,0.012,0.002,0,0.003,0.003,0,0.002,0,0.003,0,0.005,0,0,0.253
EFK23.5,WaDE_38,4/12/23,15:30,Kurz,Y,F,WS,30,8.89,421.8,21.48,1.593,,22.2186,31.2629,15.044,58.31,3266.57,173,-0.377,-0.212,-0.796,56.039,14.58,-0.001,19983,53.96,2567,2544,0.579,0.522,8,18,0.057,0.241,3.068,10.421,0.318,0.742,119.498,0.047,24.539,-0.007,0.186,-0.005,0.081,57.022,0.012,0.004,0.018,0.021,0.005,0,0.007,0.005,0.001,0.004,0,0.004,0,0.006,0.008,0.001,17.576
