site_name,sampleID,sample_date,sample_time,sampled_by,flow,flow_status,medium,filter,depth,pH,SpC,temp,DO,DO_sat,canopy,DOC,TC,Cl,SO4,NH4,SRP,NO3,TP,Mn_OES,Fe_OES,P,Ca,Mg,Be,Na,Al,Si,K,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Gd_158,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U
MCA3.1,WaDE_189,8/15/23,11:39,Berens,Y,F,WS,0.22,5,7.44,128.4,18.38,NA,NA,52,1.85,18.40872992,2.895707972,3.365477812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCA2,WaDE_190,8/15/23,11:56,Berens,Y,F,WS,0.22,9,7.64,166,20.13,NA,NA,85,2.47,23.35111759,2.736789919,2.626361824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCA1,WaDE_191,8/15/23,12:15,Berens,Y,F,WS,0.22,10,7.48,219.3,18.94,NA,NA,63,2.64,32.97242006,2.72543863,3.302574324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN4,WaDE_192,8/15/23,12:45,Berens,Y,F,WS,0.45,4,7.51,78.5,18.44,NA,NA,85,0.58,9.323458466,2.566520577,2.940879266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN2,WaDE_193,8/15/23,13:15,Berens,N,P,WS,0.45,NA,7.63,86.61,23.34,NA,NA,93,8.25,17.32758262,0.68220652,1.006596999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN1.1,WaDE_194,8/15/23,13:35,Berens,Y,F,WS,0.45,9,6.93,273,19.38,NA,NA,27,1.36,43.23877681,4.836778476,3.098137987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBO5,WaDE_195,8/15/23,14:28,Berens,Y,F,WS,0.45,3,7.43,270.8,16.87,NA,NA,72,4.91,47.28172261,0.784368126,1.934423452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBO2,WaDE_196,8/15/23,15:02,Berens,N,P,WS,0.45,30,7.63,193.2,15.06,NA,NA,10,1.86,30.32860607,5.971907426,3.334026068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB-3,WaDE_197,8/15/23,15:15,Berens,NA,NA,WSQ,0.45,NA,NA,NA,NA,NA,NA,NA,0.49,0.130980807,-0.132492065,-0.132492065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBO3,WaDE_198,8/15/23,15:30,Berens,Y,F,WS,0.45,5,7.94,74.3,22.89,NA,NA,70,1.08,9.496078623,0.886529731,1.100952231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
