OBJECTID,GridCode,AreaSqKm,SHAPE_Leng,SHAPE_Area,Water,Developed,Forested,Agricultural,Sum
95808,110458,0.02729999,0.010733999,2.72828E-06,0,6,20,7,33
95841,91779,0.38000002,0.034760929,3.79836E-05,6,355,16,47,424
95900,162433,0.7246,0.059547428,7.24363E-05,1,805,0,0,806
95938,202286,0.36929999,0.033900588,3.69078E-05,0,114,289,2,405
96024,110614,0.16319999,0.02608013,1.63144E-05,8,172,0,0,180
96392,73055,0.16110001,0.022545602,1.60962E-05,0,35,116,30,181
96561,147617,0.0007,0.001610095,6.99404E-08,0,0,1,0,1
96562,36226,0.0118,0.00756455,1.17896E-06,0,1,11,0,12
96574,73030,0.0001,0.000402534,9.99193E-09,3,0,1,0,4
96824,263961,0.249,0.025995494,2.48835E-05,0,13,253,4,270
97130,73136,0.02620001,0.013595091,2.61809E-06,6,16,6,0,28
97142,16968,0.071,0.017174262,7.09485E-06,0,33,39,12,84
97285,110553,0.0835,0.016149711,8.34361E-06,4,12,75,0,91
97294,36084,0.001,0.002323563,9.99252E-08,1,0,0,0,1
97688,16971,0.2866,0.030860035,2.86374E-05,0,1,321,0,322
97965,256433,0.06329999,0.013502389,6.32469E-06,0,6,63,0,69
98617,239064,0.17330001,0.02445216,1.73134E-05,0,6,181,4,191
98628,54626,0.0062,0.005495024,6.19398E-07,4,2,0,0,6
98769,187566,0.01069998,0.008395607,1.06896E-06,0,1,10,0,11
98792,73031,0.0003,0.000761233,2.99726E-08,3,0,0,0,3
98890,129067,0.45960002,0.045099446,4.59214E-05,21,21,465,0,507
99056,179470,0.27650002,0.031412588,2.7624E-05,1,72,231,0,304
99335,177166,0.27129999,0.032035305,2.71069E-05,0,94,138,67,299
99356,266471,0.1946,0.025454899,1.94431E-05,0,22,89,107,218
99465,207198,0.2125,0.029021196,2.12317E-05,0,0,236,0,236
99547,192026,0.13059999,0.021014042,1.30482E-05,0,7,138,0,145
99651,36266,0.05379998,0.012701166,5.37524E-06,2,0,58,0,60
99669,171767,0.34419999,0.035782288,3.43932E-05,0,38,340,0,378
99670,210711,0.1945,0.025131699,1.94335E-05,0,99,96,18,213
99684,147824,0.01830001,0.008899052,1.82834E-06,0,11,0,10,21
99751,239033,0.161,0.029635298,1.60869E-05,0,0,175,0,175
99788,36082,0.37280001,0.040799686,3.72498E-05,54,135,127,93,409
99898,17230,0.1753,0.025695297,1.75138E-05,4,48,146,2,200
99933,54630,0.0008,0.00178939,7.9925E-08,1,0,0,0,1
100019,36224,0.0838,0.018974677,8.37241E-06,0,32,4,54,90
100078,17069,0.2796,0.032504407,2.79363E-05,113,41,137,14,305
